run,method,scenario,seed,status,error,path,n_train,originals_retained,fitted_vectors_or_images,train_seconds,training_cpu_core_percent,epochs,model_mb,batch1_median_ms,batch1_p95_ms,rss_peak_mb,vram_peak_mb,fit_cpu_core_percent,fit_gpu_global_percent,evaluation,n,accuracy,macro_f1,balanced_accuracy,mcc,kappa,top2_accuracy,nll,brier,ece,auroc_macro,multiclass_gmean,score_argmax_agreement
few100__polygarbor__seed42,polygarbor,few100,42,complete,,runs/2026-09-12/few100__polygarbor__seed42,800,800,800,4.3671662498964,107.85025644745568,0,0.186852,18.85767752537504,19.834440905833617,522.932224,0.0,,,train,800,0.9825,0.9825058428633194,0.9824999999999999,0.9800735082697838,0.98,1.0,0.3716054932518658,0.16468601496108592,0.26390518266563523,0.9999428571428571,0.9823490109476646,1.0
few100__polygarbor__seed42,polygarbor,few100,42,complete,,runs/2026-09-12/few100__polygarbor__seed42,800,800,800,4.3671662498964,107.85025644745568,0,0.186852,18.85767752537504,19.834440905833617,522.932224,0.0,,,val_clean,500,0.754,0.7445745299056583,0.7659712504590378,0.7281930068940475,0.7192883160037611,0.886,0.7953945320729741,0.3912058800338379,0.13814185289738623,0.969399451927492,0.7251289698012207,1.0
few100__polygarbor__seed42,polygarbor,few100,42,complete,,runs/2026-09-12/few100__polygarbor__seed42,800,800,800,4.3671662498964,107.85025644745568,0,0.186852,18.85767752537504,19.834440905833617,522.932224,0.0,,,test_clean,500,0.724,0.7114389435645015,0.7284424518063085,0.6930323338031699,0.6842322037388737,0.866,0.8324139278107581,0.41084177751340395,0.10926373994694592,0.9626187382696088,0.6734791725847649,1.0
few100__polygarbor__seed43,polygarbor,few100,43,complete,,runs/2026-09-12/few100__polygarbor__seed43,800,800,800,4.815293913939968,110.6889858700004,0,0.186627,22.78974646469578,29.09184678574092,524.26752,0.0,333.6,44.0,train,800,0.9975,0.9974999374984375,0.9975,0.9971464183864249,0.9971428571428571,1.0,0.2638986978193264,0.10713580710992127,0.2124712669997685,1.0,0.9974905699336811,1.0
few100__polygarbor__seed43,polygarbor,few100,43,complete,,runs/2026-09-12/few100__polygarbor__seed43,800,800,800,4.815293913939968,110.6889858700004,0,0.186627,22.78974646469578,29.09184678574092,524.26752,0.0,333.6,44.0,val_clean,500,0.754,0.7452379976918657,0.7505583631587065,0.7233243808056975,0.7184877988492331,0.9,0.751708507397143,0.3812040502093955,0.12256557927244689,0.9659314028370252,0.7291884038223244,1.0
few100__polygarbor__seed43,polygarbor,few100,43,complete,,runs/2026-09-12/few100__polygarbor__seed43,800,800,800,4.815293913939968,110.6889858700004,0,0.186627,22.78974646469578,29.09184678574092,524.26752,0.0,333.6,44.0,test_clean,500,0.708,0.7067715830891326,0.7128360168516173,0.672923730989071,0.6661162921528181,0.882,0.848231936274983,0.42751764687260235,0.08564017687650795,0.9581147795908256,0.6877727188193852,1.0
few100__polygarbor_aug__seed42,polygarbor_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_aug__seed42,800,800,2800,15.208366474020295,106.71757566945084,0,0.651063,18.453533470164984,20.318897714605555,528.11776,0.0,349.0,23.0,train,800,0.90875,0.9081055481819277,0.90875,0.8972312480194169,0.8957142857142857,0.985,0.8061452180674701,0.4029555688354583,0.41151034983808965,0.9935232142857142,0.9047395410818428,1.0
few100__polygarbor_aug__seed42,polygarbor_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_aug__seed42,800,800,2800,15.208366474020295,106.71757566945084,0,0.651063,18.453533470164984,20.318897714605555,528.11776,0.0,349.0,23.0,val_clean,500,0.776,0.7624101420510454,0.7888269574592346,0.7531682098375978,0.7442992429431157,0.898,0.9641558316034048,0.4828405470538548,0.3061191677487454,0.9663999946131128,0.7356978949136523,1.0
few100__polygarbor_aug__seed42,polygarbor_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_aug__seed42,800,800,2800,15.208366474020295,106.71757566945084,0,0.651063,18.453533470164984,20.318897714605555,528.11776,0.0,349.0,23.0,test_clean,500,0.73,0.7131384012947105,0.7363201547865614,0.7013521059195207,0.6914469082980211,0.88,0.9864107262400365,0.49115777726348975,0.26575177281730167,0.9623727976675596,0.6669044322071144,1.0
few100__polygarbor_aug__seed43,polygarbor_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_aug__seed43,800,799,2800,15.744328953907825,107.34023691626012,0,0.650249,18.667091033421457,20.952961931470778,547.422208,0.0,306.29999999999995,34.0,train,800,0.95125,0.9511386883380986,0.9512499999999999,0.9446636553511915,0.9442857142857143,0.995,0.698639684439709,0.35251467116923124,0.40889189243824714,0.9974089285714286,0.9502257559307277,1.0
few100__polygarbor_aug__seed43,polygarbor_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_aug__seed43,800,799,2800,15.744328953907825,107.34023691626012,0,0.650249,18.667091033421457,20.952961931470778,547.422208,0.0,306.29999999999995,34.0,val_clean,500,0.79,0.7814187778223541,0.7906515490455668,0.7642852522700301,0.7596483999450625,0.906,0.8879236988066816,0.45374899996188306,0.2886776848769798,0.9683422130619522,0.7631589100736421,1.0
few100__polygarbor_aug__seed43,polygarbor_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_aug__seed43,800,799,2800,15.744328953907825,107.34023691626012,0,0.650249,18.667091033421457,20.952961931470778,547.422208,0.0,306.29999999999995,34.0,test_clean,500,0.74,0.739269795187671,0.7468862302125475,0.7080773654532002,0.702950840649121,0.888,0.9406808421512687,0.47766688710426936,0.2449345946123972,0.9620298437915434,0.7213884460750004,1.0
few100__polygarbor_p3__seed42,polygarbor_p3,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3__seed42,800,789,2800,5.398733928101137,125.39977131973922,0,0.649411,30.158082023262978,32.698219595476985,555.450368,0.0,293.3,35.0,train,800,0.6625,0.6222146336879403,0.6625000000000001,0.6344073902241965,0.6142857142857143,0.91625,1.0640062296435717,0.5344521381322236,0.2501721149383096,0.9758946428571428,0.5325763367733557,0.88125
few100__polygarbor_p3__seed42,polygarbor_p3,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3__seed42,800,789,2800,5.398733928101137,125.39977131973922,0,0.649411,30.158082023262978,32.698219595476985,555.450368,0.0,293.3,35.0,val_clean,500,0.588,0.5426324899005311,0.6181727775428789,0.556868031942391,0.5333559859553743,0.858,1.1733966292260343,0.5911522804395205,0.20421618446809,0.9554475259020881,0.4671954940519168,0.878
few100__polygarbor_p3__seed42,polygarbor_p3,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3__seed42,800,789,2800,5.398733928101137,125.39977131973922,0,0.649411,30.158082023262978,32.698219595476985,555.450368,0.0,293.3,35.0,test_clean,500,0.56,0.4980501484768086,0.5597416784012267,0.520498050501687,0.49652142072500915,0.85,1.1690016939504762,0.5844860143619548,0.1642955832990264,0.9537842197729205,0.39771223483399215,0.874
few100__polygarbor_p3__seed43,polygarbor_p3,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3__seed43,800,788,2800,5.508710731053725,129.61290488081656,0,0.648581,32.01905998867005,34.51533365878276,582.725632,0.0,322.43333333333334,33.333333333333336,train,800,0.7325,0.6841930451849341,0.7324999999999999,0.7111201061596938,0.6942857142857143,0.8975,0.9658969573962985,0.4959547079165616,0.28183618979415315,0.9832446428571429,0.5042341481441667,0.885
few100__polygarbor_p3__seed43,polygarbor_p3,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3__seed43,800,788,2800,5.508710731053725,129.61290488081656,0,0.648581,32.01905998867005,34.51533365878276,582.725632,0.0,322.43333333333334,33.333333333333336,val_clean,500,0.604,0.5520609578171998,0.6274195207733855,0.5690189171596128,0.549537251904229,0.822,1.1326051474419883,0.5778869317931458,0.18082419952103684,0.9523059869240306,0.39255109408463323,0.87
few100__polygarbor_p3__seed43,polygarbor_p3,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3__seed43,800,788,2800,5.508710731053725,129.61290488081656,0,0.648581,32.01905998867005,34.51533365878276,582.725632,0.0,322.43333333333334,33.333333333333336,test_clean,500,0.62,0.5489054174713938,0.6202850388740159,0.5835017875799146,0.5657837603126357,0.826,1.1571675086040367,0.5782505944208306,0.19386599652608552,0.9476829880108988,0.0,0.872
few100__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed42,800,771,2800,20.04668906191364,106.85056237389091,0,0.649039,30.04987398162484,35.374772537034005,565.972992,0.0,298.7,27.5,train,800,0.675,0.6526745377464722,0.675,0.642510204802364,0.6285714285714286,0.91125,1.1456226912468757,0.58050398549984,0.3079742970266424,0.9611089285714285,0.6202075345001665,0.8225
